Vendedor,Id,Data,Produto,Quantidade Vendida,Valor Unitario,Faturamento,Custo,Lucro,Forma de Pagamento,Imagem
James Harden,16337283762,2023-02-25 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-26 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-26 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-02-27 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-03 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-06 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-07 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-09 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-10 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-11 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-12 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-14 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-16 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-20 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-23 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-23 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-24 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-25 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-26 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-27 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-28 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-30 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-03-31 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-04-03 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-04-05 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-04-09 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-04-18 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-04-22 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-01 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-02 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-03 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-04 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-05 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-10 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-10 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-11 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-12 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-13 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-14 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-16 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-18 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-19 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-21 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-23 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-24 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-25 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-26 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-27 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-28 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-29 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-30 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-05-31 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-02 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-04 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-05 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-08 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-12 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-13 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-16 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-17 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-20 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-22 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-24 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-28 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-06-29 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-01 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-02 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-03 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-04 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-06 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-06 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-07 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-08 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-09 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-10 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-10 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-12 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-15 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-17 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-19 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-24 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-24 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-25 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-07-30 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-01 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-04 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-06 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-07 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-08 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-08 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-09 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-10 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-14 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-16 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-17 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-18 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-20 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Boleto,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-21 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-23 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-25 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
James Harden,16337283762,2023-08-28 00:00:00,Celular,1,R$ 300,R$ 300,R$ 249,"R$ 51,00",Cartão de Crédito,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png&w=350&h=254
